"cohort","year","n_pixels","acres","mean_tcc"
"FI → Other Business",2010,167140,37171.0741125798,71.0779825296159
"FI → Other Business",2011,167140,37171.0741125798,70.8689900682063
"FI → Other Business",2012,167140,37171.0741125798,70.8172250807706
"FI → Other Business",2013,167140,37171.0741125798,70.8956802680388
"FI → Other Business",2014,167140,37171.0741125798,69.7843783654421
"FI → Other Business",2015,167140,37171.0741125798,69.8511008735192
"FI → Other Business",2016,167140,37171.0741125798,73.0043316979777
"FI → Other Business",2017,167140,37171.0741125798,73.0720593514419
"FI → Other Business",2018,167140,37171.0741125798,72.3715866937896
"FI → Other Business",2019,167140,37171.0741125798,71.7019384946751
"FI → Other Business",2020,167140,37171.0741125798,70.5998264927606
"FI → Other Business",2021,167140,37171.0741125798,70.6200610266842
"FI → Other Business",2022,167140,37171.0741125798,71.8811954050497
"FI → Other Business",2023,167140,37171.0741125798,73.4453452195764
"FI → Other Business",2024,167140,37171.0741125798,75.0048761517291
"FI → Other Business",2025,167140,37171.0741125798,75.2844800765825
"Owner type changed",2010,279896,62247.4270660203,71.7492604395919
"Owner type changed",2011,279896,62247.4270660203,71.7326471260754
"Owner type changed",2012,279896,62247.4270660203,71.9307564238146
"Owner type changed",2013,279896,62247.4270660203,72.2355982221968
"Owner type changed",2014,279896,62247.4270660203,71.6537606825392
"Owner type changed",2015,279896,62247.4270660203,71.7531297339012
"Owner type changed",2016,279896,62247.4270660203,74.0617515077029
"Owner type changed",2017,279896,62247.4270660203,74.0839669019922
"Owner type changed",2018,279896,62247.4270660203,73.4772558378826
"Owner type changed",2019,279896,62247.4270660203,73.0790686540715
"Owner type changed",2020,279896,62247.4270660203,72.5766606168005
"Owner type changed",2021,279896,62247.4270660203,72.7707648555178
"Owner type changed",2022,279896,62247.4270660203,73.723768828422
"Owner type changed",2023,279896,62247.4270660203,74.5727948952468
"Owner type changed",2024,279896,62247.4270660203,75.6026416954869
"Owner type changed",2025,279896,62247.4270660203,75.160659673593
"Stable Forest Industry",2010,943343,209794.618682442,75.2471942867017
"Stable Forest Industry",2011,943343,209794.618682442,75.415815880332
"Stable Forest Industry",2012,943343,209794.618682442,75.7958452015863
"Stable Forest Industry",2013,943343,209794.618682442,76.170638887446
"Stable Forest Industry",2014,943343,209794.618682442,76.0449677370797
"Stable Forest Industry",2015,943343,209794.618682442,76.1206878092062
"Stable Forest Industry",2016,943343,209794.618682442,77.1746883159148
"Stable Forest Industry",2017,943343,209794.618682442,77.0327060252739
"Stable Forest Industry",2018,943343,209794.618682442,76.6011970195358
"Stable Forest Industry",2019,943343,209794.618682442,76.0110468832651
"Stable Forest Industry",2020,943343,209794.618682442,75.8028203951267
"Stable Forest Industry",2021,943343,209794.618682442,76.0474397965533
"Stable Forest Industry",2022,943343,209794.618682442,76.5110633141922
"Stable Forest Industry",2023,943343,209794.618682442,75.9965982680743
"Stable Forest Industry",2024,943343,209794.618682442,76.3685912759198
"Stable Forest Industry",2025,943343,209794.618682442,74.665483286567
"Stable owner type",2010,1156668,257236.998633777,75.0250702881034
"Stable owner type",2011,1156668,257236.998633777,75.237771772021
"Stable owner type",2012,1156668,257236.998633777,75.6553505413826
"Stable owner type",2013,1156668,257236.998633777,76.0551385531544
"Stable owner type",2014,1156668,257236.998633777,75.9849931008725
"Stable owner type",2015,1156668,257236.998633777,76.0814624421182
"Stable owner type",2016,1156668,257236.998633777,77.2222928273282
"Stable owner type",2017,1156668,257236.998633777,77.1131482845553
"Stable owner type",2018,1156668,257236.998633777,76.7799826743716
"Stable owner type",2019,1156668,257236.998633777,76.3141048252394
"Stable owner type",2020,1156668,257236.998633777,76.1720104645413
"Stable owner type",2021,1156668,257236.998633777,76.4006594805078
"Stable owner type",2022,1156668,257236.998633777,76.8356503335443
"Stable owner type",2023,1156668,257236.998633777,76.4452945875567
"Stable owner type",2024,1156668,257236.998633777,76.8470995998852
"Stable owner type",2025,1156668,257236.998633777,75.378016855312
