"year","n_patches","median_acres","mean_acres","max_acres"
2010,866,0.444789686640898,0.885213654648484,36.6951491478741
2011,581,0.444789686640898,2.01265419307904,56.2658953600735
2012,721,0.444789686640898,2.02129460232857,42.0326253875648
2013,534,0.444789686640898,1.64214020077253,139.663961605242
2014,1000,0.444789686640898,1.21827895170942,57.6002644199962
2015,498,0.667184529961346,2.63658464852195,67.6080323694164
2016,584,0.667184529961346,3.68741312991765,104.747971203931
2017,390,1.11197421660224,4.63493663207335,96.2969671577543
2018,557,1.11197421660224,5.33428205881723,95.1849929411521
2019,582,0.889579373281795,4.67334868352077,199.710569301763
2020,634,0.889579373281795,4.96073797198389,140.998330665165
2021,780,0.667184529961346,3.79439817295966,86.2891992083341
2022,797,0.889579373281795,6.09144219533927,339.596925750325
2023,490,1.11197421660224,7.98533647628567,143.444673941689
2024,324,1.11197421660224,4.99427432098638,86.5115940516546
