"cohort","n_pixels","acres","mean_tcc_2020","mean_tcc_2025","median_tcc_2020","median_tcc_2025","delta_pp"
"Owner type changed",279896,62247.4270660203,72.5766606168005,75.160659673593,78,80,2.58399905679252
"Stable owner type",1156668,257236.998633777,76.1720104645413,75.378016855312,81,82,-0.793993609229275
"All CFP both years",1436564,319484.425699797,75.4715028359335,75.3356676068731,80,81,-0.135835229060476
"Left CFP by 2026",45320,10078.9342992827,70.45013239188,72.3008384819064,78,80,1.85070609002648
"Entered CFP by 2026",7246,1611.47303469997,75.05327077008,75.97336461496,80,81,0.920093844879929
