"rank_abs_delta","parid","county","acres_2020","acres_2026","n_tcc_pixels","mean_tcc_2020","mean_tcc_2025","delta_pp","abs_delta_pp","owner_type_2020","owner_type_2026","owner_type_changed","still_in_cfp_2026"
19,"5072","Houghton",40,40,172,41.6860465116279,81.7267441860465,40.0406976744186,40.0406976744186,"Forest Industry","Forest Industry",FALSE,TRUE
20,"5274","Keweenaw",80,80,365,83.3315068493151,43.7315068493151,-39.6,39.6,"Forest Industry","Forest Industry",FALSE,TRUE
21,"6143","Keweenaw",160,160,722,74.6246537396122,35.0401662049861,-39.584487534626,39.584487534626,"Forest Industry","Forest Industry",FALSE,TRUE
22,"5264","Keweenaw",40,40,177,39.2316384180791,78.6440677966102,39.4124293785311,39.4124293785311,"Forest Industry","Forest Industry",FALSE,TRUE
23,"779","Keweenaw",40,40,175,39.9885714285714,79.1885714285714,39.2,39.2,"Forest Industry","Forest Industry",FALSE,TRUE
24,"5202","Keweenaw",320,320,1446,77.1576763485477,38.6715076071923,-38.4861687413555,38.4861687413555,"Forest Industry","Forest Industry",FALSE,TRUE
25,"35572","Houghton",154.17,154.17,671,79.0938897168405,40.9493293591654,-38.1445603576751,38.1445603576751,"Forest Industry","Forest Industry",FALSE,TRUE
26,"32903","Keweenaw",81,NA,386,34.9274611398964,72.7901554404145,37.8626943005181,37.8626943005181,"Private Individual(s)","non-CFP in 2026",FALSE,FALSE
27,"11929","Keweenaw",478.39,478.39,2135,43.1344262295082,80.4224824355972,37.288056206089,37.288056206089,"Forest Industry","Forest Industry",FALSE,TRUE
28,"20309","Houghton",480,480,2156,78.9833024118738,41.9397031539889,-37.043599257885,37.043599257885,"Other Business","Forest Industry",TRUE,TRUE
29,"10333","Houghton",40,40,170,85.6117647058824,48.6117647058824,-37,37,"Forest Industry","Forest Industry",FALSE,TRUE
30,"18913","Houghton",20,20,92,83.8913043478261,47.8152173913044,-36.0760869565217,36.0760869565217,"Forest Industry","Forest Industry",FALSE,TRUE
31,"791","Keweenaw",80,80,357,74.7759103641457,40.3249299719888,-34.4509803921569,34.4509803921569,"Forest Industry","Forest Industry",FALSE,TRUE
32,"5182","Keweenaw",40,40,183,27.2459016393443,61.6775956284153,34.431693989071,34.431693989071,"Forest Industry","Forest Industry",FALSE,TRUE
