"rank_abs_delta","parid","county","acres_2020","acres_2026","n_tcc_pixels","mean_tcc_2020","mean_tcc_2025","delta_pp","abs_delta_pp","owner_type_2020","owner_type_2026","owner_type_changed","still_in_cfp_2026"
505,"17635","Houghton",40,40,188,65.4148936170213,59.8829787234043,-5.53191489361702,5.53191489361702,"Forest Industry","Forest Industry",FALSE,TRUE
506,"4212","Keweenaw",160,160,731,72.5430916552668,78.0478796169631,5.50478796169629,5.50478796169629,"Forest Industry","Forest Industry",FALSE,TRUE
507,"793","Keweenaw",640,640,2801,72.7857907890039,67.2884684041414,-5.49732238486254,5.49732238486254,"Forest Industry","Forest Industry",FALSE,TRUE
508,"11995","Keweenaw",320,320,1417,74.3521524347212,79.8419195483416,5.48976711362032,5.48976711362032,"Forest Industry","Other Business",TRUE,TRUE
509,"10179","Houghton",360,360,1613,77.7774333539988,83.2653440793552,5.48791072535649,5.48791072535649,"Forest Industry","Forest Industry",FALSE,TRUE
510,"19629","Houghton",40,40,179,69.1005586592179,74.586592178771,5.48603351955308,5.48603351955308,"Forest Industry","Forest Industry",FALSE,TRUE
511,"5179","Keweenaw",160,160,720,62.7722222222222,68.2569444444444,5.48472222222222,5.48472222222222,"Forest Industry","Forest Industry",FALSE,TRUE
512,"30539","Houghton",68.61,68.61,302,68.9933774834437,74.4735099337748,5.48013245033113,5.48013245033113,"Forest Industry","Forest Industry",FALSE,TRUE
513,"17662","Houghton",40,40,180,74.2555555555556,79.6888888888889,5.43333333333332,5.43333333333332,"Forest Industry","Forest Industry",FALSE,TRUE
514,"21459","Keweenaw",80,80,363,76.5234159779614,81.9366391184573,5.41322314049586,5.41322314049586,"Forest Industry","Other Business",TRUE,TRUE
515,"34589","Houghton",120,120,551,75.1941923774955,80.6043557168784,5.41016333938293,5.41016333938293,"Other Business","Other Business",FALSE,TRUE
516,"19010","Keweenaw",151.5,151.5,687,70.0771470160117,75.4832605531296,5.4061135371179,5.4061135371179,"Forest Industry","Other Business",TRUE,TRUE
517,"10409","Houghton",80,80,365,70.3616438356164,75.7534246575343,5.39178082191782,5.39178082191782,"Forest Industry","Forest Industry",FALSE,TRUE
518,"28040","Houghton",153,153,532,76.0357142857143,81.4116541353384,5.37593984962406,5.37593984962406,"Forest Industry","Forest Industry",FALSE,TRUE
519,"5159","Houghton",40,40,196,63.6428571428571,69.015306122449,5.37244897959183,5.37244897959183,"Forest Industry","Forest Industry",FALSE,TRUE
520,"10264","Houghton",360,360,1612,77.8002481389578,83.1501240694789,5.34987593052109,5.34987593052109,"Forest Industry","Forest Industry",FALSE,TRUE
521,"12111","Keweenaw",320,320,1439,70.9499652536484,76.2981236970118,5.34815844336345,5.34815844336345,"Forest Industry","Private Individual(s)",TRUE,TRUE
522,"19011","Keweenaw",80,80,405,72.158024691358,77.4913580246914,5.33333333333333,5.33333333333333,"Forest Industry","Other Business",TRUE,TRUE
523,"22052","Keweenaw",320,NA,1431,68.2131376659678,73.4912648497554,5.27812718378756,5.27812718378756,"Forest Industry","non-CFP in 2026",FALSE,FALSE
524,"17466","Keweenaw",320,320,1445,84.280276816609,79.00276816609,-5.27750865051904,5.27750865051904,"Forest Industry","Forest Industry",FALSE,TRUE
525,"10349","Houghton",280,280,1275,81.7309803921569,76.4666666666667,-5.2643137254902,5.2643137254902,"Forest Industry","Forest Industry",FALSE,TRUE
526,"35524","Houghton",435.61,NA,1977,75.5488113302984,80.8128477491148,5.26403641881639,5.26403641881639,"Private Individual(s)","non-CFP in 2026",FALSE,FALSE
527,"5870","Keweenaw",320,320,1372,70.8899416909621,76.152332361516,5.26239067055393,5.26239067055393,"Forest Industry","Forest Industry",FALSE,TRUE
528,"19706","Keweenaw",20,20,89,77.1685393258427,82.4044943820225,5.23595505617978,5.23595505617978,"Forest Industry","Forest Industry",FALSE,TRUE
529,"28972","Houghton",116.96,116.96,541,70.3678373382625,75.5933456561922,5.22550831792977,5.22550831792977,"Forest Industry","Forest Industry",FALSE,TRUE
530,"16096","Houghton",80,80,347,78.7204610951009,73.4985590778098,-5.22190201729106,5.22190201729106,"Forest Industry","Forest Industry",FALSE,TRUE
531,"27093","Keweenaw",640,640,2834,71.6898376852505,76.9110797459421,5.22124206069161,5.22124206069161,"Forest Industry","Other Business",TRUE,TRUE
532,"5265","Keweenaw",80,80,356,67.373595505618,72.5898876404494,5.21629213483146,5.21629213483146,"Forest Industry","Forest Industry",FALSE,TRUE
533,"21889","Houghton",30,30,123,84.6747967479675,79.4715447154472,-5.20325203252033,5.20325203252033,"Private Individual(s)","Private Individual(s)",FALSE,TRUE
534,"10119","Houghton",40,40,179,82.1061452513967,76.9217877094972,-5.18435754189944,5.18435754189944,"Private Individual(s)","Private Individual(s)",FALSE,TRUE
535,"12058","Keweenaw",520,520,2266,76.7356575463372,71.5688437775816,-5.1668137687555,5.1668137687555,"Forest Industry","Forest Industry",FALSE,TRUE
536,"28981","Keweenaw",240,240,1062,79.8022598870056,74.6572504708098,-5.14500941619585,5.14500941619585,"Forest Industry","Forest Industry",FALSE,TRUE
537,"22026","Keweenaw",160,160,710,69.7647887323944,74.9084507042254,5.14366197183099,5.14366197183099,"Forest Industry","Other Business",TRUE,TRUE
538,"18025","Keweenaw",40,NA,179,7.62011173184358,2.4804469273743,-5.13966480446927,5.13966480446927,"Forest Industry","non-CFP in 2026",FALSE,FALSE
539,"6123","Keweenaw",40,40,175,75.8685714285714,81.0057142857143,5.13714285714286,5.13714285714286,"Forest Industry","Forest Industry",FALSE,TRUE
540,"19624","Houghton",20,20,89,69.3483146067416,74.4719101123596,5.12359550561798,5.12359550561798,"Forest Industry","Forest Industry",FALSE,TRUE
541,"10259","Houghton",80,80,363,78.0165289256198,72.8980716253444,-5.11845730027548,5.11845730027548,"Forest Industry","Forest Industry",FALSE,TRUE
542,"34604","Houghton",200.96,NA,902,65.509977827051,70.6086474501109,5.09866962305986,5.09866962305986,"Private Individual(s)","non-CFP in 2026",FALSE,FALSE
543,"11957","Keweenaw",320,320,1422,83.239099859353,78.1568213783404,-5.08227848101265,5.08227848101265,"Forest Industry","Forest Industry",FALSE,TRUE
544,"23294","Keweenaw",120,120,540,65.1240740740741,70.1722222222222,5.04814814814814,5.04814814814814,"Forest Industry","Forest Industry",FALSE,TRUE
545,"4956","Houghton",39.81,39.81,154,40.6558441558442,35.6103896103896,-5.04545454545455,5.04545454545455,"Forest Industry","Private Individual(s)",TRUE,TRUE
546,"785","Keweenaw",151.09,151.09,718,71.7033426183844,76.7451253481894,5.04178272980502,5.04178272980502,"Forest Industry","Forest Industry",FALSE,TRUE
547,"10353","Houghton",520,520,2456,70.625,75.6543159609121,5.02931596091206,5.02931596091206,"Forest Industry","Forest Industry",FALSE,TRUE
548,"868","Houghton",78.89,78.89,424,78.2028301886792,83.2240566037736,5.02122641509435,5.02122641509435,"Private Individual(s)","Trust",TRUE,TRUE
549,"11993","Keweenaw",640,640,2874,75.9620737647877,80.9627696590118,5.00069589422408,5.00069589422408,"Forest Industry","Other Business",TRUE,TRUE
550,"18952","Keweenaw",33.65,33.65,159,82.7798742138365,77.7798742138365,-5,5,"Other Business","Forest Industry",TRUE,TRUE
551,"34491","Houghton",52.07,52.07,196,58.6836734693878,63.6734693877551,4.98979591836735,4.98979591836735,"Forest Industry","Private Individual(s)",TRUE,TRUE
552,"16894","Houghton",80,80,366,9.89344262295082,14.8579234972678,4.96448087431694,4.96448087431694,"Forest Industry","Forest Industry",FALSE,TRUE
553,"18955","Keweenaw",33.95,33.95,153,81.8104575163399,76.8562091503268,-4.95424836601308,4.95424836601308,"Other Business","Forest Industry",TRUE,TRUE
554,"29098","Keweenaw",80,80,367,75.433242506812,80.3841961852861,4.95095367847411,4.95095367847411,"Forest Industry","Forest Industry",FALSE,TRUE
555,"6160","Keweenaw",80,80,348,74.1637931034483,69.2270114942529,-4.93678160919539,4.93678160919539,"Forest Industry","Forest Industry",FALSE,TRUE
556,"10257","Houghton",600,600,2732,73.7814787701318,68.845168374817,-4.93631039531479,4.93631039531479,"Forest Industry","Forest Industry",FALSE,TRUE
557,"18904","Houghton",80,80,361,56.2880886426593,51.3795013850416,-4.90858725761773,4.90858725761773,"Forest Industry","Other",TRUE,TRUE
558,"6139","Keweenaw",160,160,720,76.7833333333333,71.8819444444444,-4.90138888888889,4.90138888888889,"Forest Industry","Forest Industry",FALSE,TRUE
559,"18994","Keweenaw",160,160,729,73.8587105624143,78.7599451303155,4.90123456790124,4.90123456790124,"Forest Industry","Forest Industry",FALSE,TRUE
560,"10361","Houghton",320,320,1454,76.2317744154058,81.1258596973865,4.89408528198074,4.89408528198074,"Forest Industry","Forest Industry",FALSE,TRUE
561,"35620","Houghton",40,40,181,75.4364640883978,80.3149171270718,4.87845303867404,4.87845303867404,"Private Individual(s)","Private Individual(s)",FALSE,TRUE
562,"23232","Keweenaw",80,80,346,74.5115606936416,69.6531791907514,-4.85838150289017,4.85838150289017,"Forest Industry","Other Business",TRUE,TRUE
563,"12049","Keweenaw",160,160,716,84.4734636871508,79.6159217877095,-4.85754189944134,4.85754189944134,"Forest Industry","Forest Industry",FALSE,TRUE
564,"11969","Keweenaw",40,40,175,72.7714285714286,77.6057142857143,4.83428571428571,4.83428571428571,"Forest Industry","Forest Industry",FALSE,TRUE
565,"33716","Houghton",20,20,90,76.6,81.4222222222222,4.82222222222222,4.82222222222222,"Forest Industry","Forest Industry",FALSE,TRUE
566,"10188","Houghton",80,80,347,73.6829971181556,78.4956772334294,4.81268011527376,4.81268011527376,"Forest Industry","Forest Industry",FALSE,TRUE
567,"18847","Houghton",80,80,362,76.9779005524862,81.7734806629834,4.79558011049724,4.79558011049724,"Forest Industry","Forest Industry",FALSE,TRUE
568,"23149","Houghton",80,80,398,77.6306532663317,72.8517587939699,-4.77889447236181,4.77889447236181,"Forest Industry","Forest Industry",FALSE,TRUE
569,"11932","Keweenaw",160,160,707,80.3974540311174,75.6308345120226,-4.76661951909476,4.76661951909476,"Forest Industry","Forest Industry",FALSE,TRUE
570,"5199","Keweenaw",80,80,361,69.601108033241,74.3545706371191,4.75346260387812,4.75346260387812,"Forest Industry","Forest Industry",FALSE,TRUE
571,"5272","Keweenaw",80,80,364,75.6565934065934,80.4093406593407,4.75274725274726,4.75274725274726,"Forest Industry","Forest Industry",FALSE,TRUE
572,"19754","Keweenaw",40,40,173,73.8150289017341,78.5664739884393,4.7514450867052,4.7514450867052,"Forest Industry","Other Business",TRUE,TRUE
573,"16098","Houghton",640,640,2907,78.7089783281734,83.4282765737874,4.71929824561404,4.71929824561404,"Forest Industry","Forest Industry",FALSE,TRUE
574,"4915","Houghton",38.5,38.5,179,75.6759776536313,80.391061452514,4.71508379888269,4.71508379888269,"Forest Industry","Forest Industry",FALSE,TRUE
575,"12104","Keweenaw",320,320,1444,73.6142659279778,78.2403047091413,4.62603878116343,4.62603878116343,"Forest Industry","Forest Industry",FALSE,TRUE
576,"5266","Keweenaw",40,40,178,76.7359550561798,81.3370786516854,4.60112359550561,4.60112359550561,"Forest Industry","Forest Industry",FALSE,TRUE
577,"16142","Houghton",40,40,189,73.1428571428571,77.7301587301587,4.5873015873016,4.5873015873016,"Forest Industry","Forest Industry",FALSE,TRUE
578,"11928","Keweenaw",40,40,181,77.3314917127072,81.9171270718232,4.58563535911603,4.58563535911603,"Forest Industry","Forest Industry",FALSE,TRUE
579,"4906","Houghton",80,NA,359,75.6155988857939,80.1949860724234,4.57938718662953,4.57938718662953,"Forest Industry","non-CFP in 2026",FALSE,FALSE
580,"10176","Houghton",204.43,204.43,913,76.7918948521358,81.3669222343921,4.57502738225631,4.57502738225631,"Forest Industry","Forest Industry",FALSE,TRUE
581,"10404","Houghton",635.67,635.67,2715,79.590423572744,84.1451197053407,4.55469613259669,4.55469613259669,"Forest Industry","Forest Industry",FALSE,TRUE
582,"23539","Keweenaw",279.77,279.77,1268,76.0764984227129,80.6190851735016,4.54258675078864,4.54258675078864,"Forest Industry","Forest Industry",FALSE,TRUE
583,"4219","Keweenaw",320,NA,1416,71.364406779661,75.906779661017,4.54237288135594,4.54237288135594,"Forest Industry","non-CFP in 2026",FALSE,FALSE
584,"20441","Houghton",40,40,180,77.2277777777778,81.7666666666667,4.53888888888889,4.53888888888889,"Private Individual(s)","Private Individual(s)",FALSE,TRUE
585,"10346","Houghton",640,640,2861,78.7490387976232,74.2139112198532,-4.53512757777001,4.53512757777001,"Forest Industry","Forest Industry",FALSE,TRUE
586,"5149","Houghton",40,40,179,74.4022346368715,78.9329608938548,4.53072625698324,4.53072625698324,"Forest Industry","Forest Industry",FALSE,TRUE
587,"30737","Keweenaw",40,40,176,66.4488636363636,70.9772727272727,4.52840909090909,4.52840909090909,"Private Individual(s)","Private Individual(s)",FALSE,TRUE
588,"10311","Houghton",120,120,540,77.737037037037,82.262962962963,4.52592592592592,4.52592592592592,"Forest Industry","Forest Industry",FALSE,TRUE
589,"5300","Keweenaw",80,80,354,72.680790960452,77.2033898305085,4.5225988700565,4.5225988700565,"Forest Industry","Forest Industry",FALSE,TRUE
590,"27092","Keweenaw",102.5,102.5,448,70.3392857142857,74.8482142857143,4.50892857142858,4.50892857142858,"Forest Industry","Other Business",TRUE,TRUE
591,"23264","Keweenaw",160,160,723,71.6417704011065,76.1396957123098,4.49792531120332,4.49792531120332,"Forest Industry","Forest Industry",FALSE,TRUE
592,"26181","Houghton",40,NA,179,44.7597765363128,49.2458100558659,4.48603351955308,4.48603351955308,"Private Individual(s)","non-CFP in 2026",FALSE,FALSE
593,"10171","Houghton",400,400,1816,73.3001101321586,77.7852422907489,4.4851321585903,4.4851321585903,"Forest Industry","Forest Industry",FALSE,TRUE
594,"16893","Houghton",160,160,722,62.1648199445983,66.6398891966759,4.47506925207756,4.47506925207756,"Forest Industry","Forest Industry",FALSE,TRUE
595,"866","Houghton",40,40,182,78.4505494505494,82.9175824175824,4.46703296703298,4.46703296703298,"Private Individual(s)","Trust",TRUE,TRUE
596,"33768","Houghton",82.22,82.22,359,76.8690807799443,81.3286908077994,4.45961002785516,4.45961002785516,"Other Business","Other Business",FALSE,TRUE
597,"10089","Houghton",40,40,180,68.4555555555555,72.9055555555556,4.45,4.45,"Other Business","Other Business",FALSE,TRUE
598,"18902","Houghton",20,20,88,73.4431818181818,77.8409090909091,4.39772727272728,4.39772727272728,"Forest Industry","Trust",TRUE,TRUE
599,"18002","Keweenaw",80,80,348,68.2212643678161,72.6149425287356,4.39367816091954,4.39367816091954,"Forest Industry","Other Business",TRUE,TRUE
600,"26771","Houghton",40,40,182,81.8461538461538,77.456043956044,-4.39010989010988,4.39010989010988,"Private Individual(s)","Private Individual(s)",FALSE,TRUE
601,"20443","Houghton",40,40,179,79.3854748603352,83.7709497206704,4.38547486033519,4.38547486033519,"Private Individual(s)","Private Individual(s)",FALSE,TRUE
602,"12035","Keweenaw",640,640,2905,75.5466437177281,79.9204819277108,4.37383820998278,4.37383820998278,"Forest Industry","Forest Industry",FALSE,TRUE
603,"16960","Houghton",40,40,175,66.1657142857143,70.5142857142857,4.34857142857143,4.34857142857143,"Other Business","Other Business",FALSE,TRUE
604,"29677","Houghton",631.91,631.91,2952,82.1930894308943,77.8539972899729,-4.33909214092141,4.33909214092141,"Forest Industry","Forest Industry",FALSE,TRUE
605,"29985","Houghton",40,NA,178,74.6573033707865,78.9887640449438,4.3314606741573,4.3314606741573,"Private Individual(s)","non-CFP in 2026",FALSE,FALSE
606,"17513","Houghton",122.64,122.64,718,59.9623955431755,64.2869080779944,4.32451253481894,4.32451253481894,"Forest Industry","Forest Industry",FALSE,TRUE
607,"10159","Houghton",658.07,658.07,2860,77.0636363636364,81.3832167832168,4.31958041958042,4.31958041958042,"Forest Industry","Forest Industry",FALSE,TRUE
608,"16095","Houghton",160,160,685,68.4335766423358,72.7503649635037,4.31678832116789,4.31678832116789,"Forest Industry","Forest Industry",FALSE,TRUE
609,"4979","Houghton",317.78,317.78,1445,77.8242214532872,82.1404844290658,4.31626297577856,4.31626297577856,"Forest Industry","Forest Industry",FALSE,TRUE
610,"12033","Keweenaw",560,560,2521,78.8441094803649,74.5299484331615,-4.31416104720348,4.31416104720348,"Forest Industry","Forest Industry",FALSE,TRUE
611,"5511","Houghton",120,120,542,62.1660516605166,66.4778597785978,4.31180811808118,4.31180811808118,"Forest Industry","Forest Industry",FALSE,TRUE
612,"23165","Houghton",40,40,181,81.0331491712707,76.7237569060773,-4.30939226519338,4.30939226519338,"Private Individual(s)","Private Individual(s)",FALSE,TRUE
613,"19767","Keweenaw",320,320,1444,73.0837950138504,77.3746537396122,4.29085872576177,4.29085872576177,"Forest Industry","Forest Industry",FALSE,TRUE
614,"4914","Houghton",72.8,72.8,338,75.2810650887574,79.5591715976331,4.27810650887574,4.27810650887574,"Forest Industry","Forest Industry",FALSE,TRUE
615,"33211","Houghton",60,60,270,76.2814814814815,80.5592592592593,4.27777777777779,4.27777777777779,"Other Business","Other Business",FALSE,TRUE
616,"16843","Keweenaw",320,320,1417,63.923782639379,68.1785462244178,4.25476358503882,4.25476358503882,"Forest Industry","Other Business",TRUE,TRUE
617,"10193","Houghton",560,560,2520,73.0210317460318,68.772619047619,-4.24841269841271,4.24841269841271,"Forest Industry","Forest Industry",FALSE,TRUE
618,"10227","Houghton",399.09,399.09,1844,80.9289587852495,76.689262472885,-4.23969631236443,4.23969631236443,"Forest Industry","Forest Industry",FALSE,TRUE
619,"5296","Keweenaw",80,80,364,73.4120879120879,77.6346153846154,4.22252747252747,4.22252747252747,"Forest Industry","Forest Industry",FALSE,TRUE
620,"23612","Houghton",34.97,NA,159,63.3522012578616,67.5408805031446,4.18867924528301,4.18867924528301,"Forest Industry","non-CFP in 2026",FALSE,FALSE
621,"16895","Houghton",80,80,360,56.6388888888889,60.8111111111111,4.17222222222222,4.17222222222222,"Forest Industry","Forest Industry",FALSE,TRUE
622,"10323","Houghton",232.15,232.15,1096,77.0483576642336,81.2189781021898,4.1706204379562,4.1706204379562,"Forest Industry","Forest Industry",FALSE,TRUE
623,"10233","Houghton",160,160,677,82.7016248153619,78.533234859675,-4.16838995568686,4.16838995568686,"Forest Industry","Forest Industry",FALSE,TRUE
624,"17544","Houghton",107,107,476,75.3466386554622,71.1785714285714,-4.16806722689076,4.16806722689076,"Forest Industry","Forest Industry",FALSE,TRUE
625,"34961","Keweenaw",136.95,136.95,553,64.0452079566004,68.2061482820976,4.16094032549728,4.16094032549728,"Forest Industry","Other Business",TRUE,TRUE
626,"16891","Houghton",85.39,85.39,374,79.2807486631016,75.1256684491979,-4.15508021390374,4.15508021390374,"Forest Industry","Forest Industry",FALSE,TRUE
627,"777","Keweenaw",160,NA,714,71.859943977591,76.0042016806723,4.14425770308124,4.14425770308124,"Forest Industry","non-CFP in 2026",FALSE,FALSE
628,"10169","Houghton",600,600,2675,74.923738317757,79.0672897196262,4.14355140186916,4.14355140186916,"Forest Industry","Forest Industry",FALSE,TRUE
629,"10205","Houghton",80,80,388,79.25,83.3917525773196,4.14175257731959,4.14175257731959,"Forest Industry","Forest Industry",FALSE,TRUE
630,"5080","Houghton",80,80,362,76.7127071823204,80.8425414364641,4.12983425414365,4.12983425414365,"Forest Industry","Forest Industry",FALSE,TRUE
631,"5208","Keweenaw",160,160,722,63.2036011080332,67.3130193905817,4.10941828254848,4.10941828254848,"Forest Industry","Forest Industry",FALSE,TRUE
632,"18957","Keweenaw",80,80,356,76.6966292134831,80.8005617977528,4.10393258426966,4.10393258426966,"Other Business","Forest Industry",TRUE,TRUE
633,"33540","Houghton",36.82,36.82,164,75.2012195121951,71.1036585365854,-4.09756097560975,4.09756097560975,"Other Business","Private Individual(s)",TRUE,TRUE
634,"16819","Keweenaw",39.49,39.49,180,75.7722222222222,79.8611111111111,4.08888888888889,4.08888888888889,"Forest Industry","Forest Industry",FALSE,TRUE
635,"18322","Houghton",58.76,58.76,275,72.84,76.9163636363636,4.07636363636364,4.07636363636364,"Forest Industry","Forest Industry",FALSE,TRUE
636,"23166","Houghton",40,40,184,76.195652173913,72.125,-4.07065217391305,4.07065217391305,"Private Individual(s)","Private Individual(s)",FALSE,TRUE
637,"19504","Houghton",80,80,372,77.3413978494624,81.3978494623656,4.05645161290322,4.05645161290322,"Forest Industry","Forest Industry",FALSE,TRUE
638,"35424","Houghton",40,40,182,69.043956043956,73.0989010989011,4.05494505494505,4.05494505494505,"Forest Industry","Forest Industry",FALSE,TRUE
639,"4957","Houghton",80,80,326,75.5153374233129,71.4723926380368,-4.04294478527608,4.04294478527608,"Forest Industry","Forest Industry",FALSE,TRUE
640,"32928","Houghton",80,80,360,74.4166666666667,78.4444444444444,4.02777777777777,4.02777777777777,"Other Business","Other Business",FALSE,TRUE
641,"19005","Keweenaw",320,320,1437,69.6812804453723,73.6958942240779,4.01461377870564,4.01461377870564,"Forest Industry","Other Business",TRUE,TRUE
642,"30139","Houghton",40,40,178,56.8426966292135,60.8483146067416,4.00561797752809,4.00561797752809,"Private Individual(s)","Private Individual(s)",FALSE,TRUE
643,"19499","Houghton",77.86,NA,362,45.1933701657459,49.1933701657459,4,4,"Forest Industry","non-CFP in 2026",FALSE,FALSE
644,"17661","Houghton",40,40,182,74.6373626373626,78.6263736263736,3.98901098901098,3.98901098901098,"Forest Industry","Forest Industry",FALSE,TRUE
645,"24055","Houghton",39.05,39.05,149,73.9664429530201,77.9530201342282,3.98657718120805,3.98657718120805,"Forest Industry","Forest Industry",FALSE,TRUE
646,"20447","Houghton",80,80,356,72.9101123595506,76.8876404494382,3.97752808988764,3.97752808988764,"Forest Industry","Private Individual(s)",TRUE,TRUE
647,"3535","Houghton",36.1,36.1,167,75.7005988023952,79.6766467065868,3.97604790419162,3.97604790419162,"Forest Industry","Forest Industry",FALSE,TRUE
648,"27146","Houghton",80,80,356,83.9494382022472,79.9775280898876,-3.97191011235955,3.97191011235955,"Private Individual(s)","Private Individual(s)",FALSE,TRUE
649,"17986","Keweenaw",200,200,879,72.6575654152446,76.6211604095563,3.96359499431172,3.96359499431172,"Forest Industry","Other Business",TRUE,TRUE
650,"6173","Keweenaw",69.85,69.85,300,75.2166666666667,79.18,3.96333333333334,3.96333333333334,"Forest Industry","Forest Industry",FALSE,TRUE
651,"35441","Houghton",200,200,887,54.9740698985344,58.934611048478,3.96054114994363,3.96054114994363,"Private Individual(s)","Private Individual(s)",FALSE,TRUE
652,"5102","Houghton",640,640,2956,76.8788903924222,80.8267929634641,3.94790257104195,3.94790257104195,"Forest Industry","Forest Industry",FALSE,TRUE
653,"16091","Houghton",304.21,304.21,1422,75.3987341772152,79.345288326301,3.9465541490858,3.9465541490858,"Forest Industry","Forest Industry",FALSE,TRUE
654,"11926","Keweenaw",401.49,NA,1816,74.7290748898678,78.6486784140969,3.91960352422907,3.91960352422907,"Forest Industry","non-CFP in 2026",FALSE,FALSE
655,"27087","Keweenaw",240,240,1077,76.5571030640669,80.4698235840297,3.91272051996286,3.91272051996286,"Forest Industry","Other Business",TRUE,TRUE
656,"16126","Houghton",307.5,307.5,1439,80.0785267546908,76.1855455177206,-3.89298123697012,3.89298123697012,"Forest Industry","Forest Industry",FALSE,TRUE
657,"29606","Keweenaw",160,160,728,73.8159340659341,77.7074175824176,3.8914835164835,3.8914835164835,"Forest Industry","Other Business",TRUE,TRUE
658,"18903","Houghton",40,40,181,61.8618784530387,57.9779005524862,-3.88397790055248,3.88397790055248,"Forest Industry","Other",TRUE,TRUE
659,"29100","Keweenaw",160,160,722,73.2714681440443,77.1329639889197,3.86149584487535,3.86149584487535,"Forest Industry","Forest Industry",FALSE,TRUE
660,"10258","Houghton",80,80,378,80.468253968254,76.6269841269841,-3.84126984126983,3.84126984126983,"Forest Industry","Forest Industry",FALSE,TRUE
661,"16123","Houghton",80,80,362,71.6740331491713,67.8397790055249,-3.8342541436464,3.8342541436464,"Forest Industry","Forest Industry",FALSE,TRUE
662,"23272","Keweenaw",320,320,1407,73.3901918976546,77.2174840085288,3.8272921108742,3.8272921108742,"Forest Industry","Other Business",TRUE,TRUE
663,"20308","Houghton",560,560,2561,74.4486528699727,78.2604451386177,3.81179226864506,3.81179226864506,"Other Business","Other Business",FALSE,TRUE
664,"10309","Houghton",40,40,179,77.9888268156425,81.7988826815643,3.8100558659218,3.8100558659218,"Forest Industry","Forest Industry",FALSE,TRUE
665,"16107","Houghton",147.05,147.05,726,69.7231404958678,65.9132231404959,-3.80991735537189,3.80991735537189,"Forest Industry","Forest Industry",FALSE,TRUE
666,"28820","Houghton",240,240,1077,79.4883936861653,75.6787372330548,-3.80965645311049,3.80965645311049,"Other Business","Other Business",FALSE,TRUE
667,"16896","Houghton",40,40,176,69.6306818181818,73.4375,3.80681818181819,3.80681818181819,"Forest Industry","Forest Industry",FALSE,TRUE
668,"10398","Houghton",120,120,555,67.8828828828829,71.6720720720721,3.78918918918919,3.78918918918919,"Forest Industry","Forest Industry",FALSE,TRUE
669,"17683","Houghton",40,NA,184,58.6413043478261,54.8586956521739,-3.78260869565217,3.78260869565217,"Forest Industry","non-CFP in 2026",FALSE,FALSE
670,"28975","Houghton",40,40,178,76.8876404494382,80.6685393258427,3.78089887640449,3.78089887640449,"Forest Industry","Private Individual(s)",TRUE,TRUE
671,"33325","Houghton",40,NA,181,79.1823204419889,82.9558011049724,3.77348066298343,3.77348066298343,"Private Individual(s)","non-CFP in 2026",FALSE,FALSE
672,"5241","Keweenaw",40,40,175,69.1485714285714,72.9085714285714,3.76000000000001,3.76000000000001,"Forest Industry","Forest Industry",FALSE,TRUE
673,"21111","Houghton",40,40,179,75.4413407821229,79.1843575418994,3.74301675977654,3.74301675977654,"Private Individual(s)","Other Business",TRUE,TRUE
674,"10406","Houghton",156.47,156.47,702,78.7663817663818,75.0242165242165,-3.74216524216524,3.74216524216524,"Forest Industry","Forest Industry",FALSE,TRUE
675,"5291","Keweenaw",160,160,713,68.4333800841515,72.1697054698457,3.73632538569426,3.73632538569426,"Forest Industry","Private Individual(s)",TRUE,TRUE
676,"33538","Houghton",235.7,NA,1146,68.4232111692845,64.6919720767888,-3.73123909249564,3.73123909249564,"Other Business","non-CFP in 2026",FALSE,FALSE
677,"19725","Keweenaw",20,20,89,80.685393258427,84.4157303370787,3.73033707865169,3.73033707865169,"Forest Industry","Forest Industry",FALSE,TRUE
678,"6122","Keweenaw",160,160,708,78.7768361581921,82.5028248587571,3.72598870056497,3.72598870056497,"Forest Industry","Forest Industry",FALSE,TRUE
679,"16124","Houghton",48,48,361,63.207756232687,66.9196675900277,3.71191135734072,3.71191135734072,"Forest Industry","Forest Industry",FALSE,TRUE
680,"33769","Houghton",38.7,38.7,175,75.4057142857143,79.1142857142857,3.70857142857143,3.70857142857143,"Other Business","Other Business",FALSE,TRUE
681,"10341","Houghton",40,40,181,79.3314917127072,83.0386740331492,3.707182320442,3.707182320442,"Forest Industry","Forest Industry",FALSE,TRUE
682,"18003","Keweenaw",200,200,899,75.3926585094549,79.0878754171301,3.6952169076752,3.6952169076752,"Forest Industry","Other Business",TRUE,TRUE
683,"33821","Houghton",37.7,37.7,184,80.4510869565217,76.7663043478261,-3.68478260869564,3.68478260869564,"Private Individual(s)","Other Business",TRUE,TRUE
684,"19712","Keweenaw",20,20,87,80.6091954022989,84.2758620689655,3.66666666666667,3.66666666666667,"Forest Industry","Forest Industry",FALSE,TRUE
685,"29903","Keweenaw",241.93,241.93,1094,72.7010968921389,76.3574040219378,3.6563071297989,3.6563071297989,"Forest Industry","Forest Industry",FALSE,TRUE
686,"17485","Houghton",37.85,37.85,157,75.9617834394904,79.6178343949045,3.65605095541402,3.65605095541402,"Forest Industry","Forest Industry",FALSE,TRUE
687,"10090","Houghton",80,80,359,70.6490250696379,74.2896935933148,3.64066852367688,3.64066852367688,"Private Individual(s)","Private Individual(s)",FALSE,TRUE
