"kind","from","to","n_pixels","acres","changed","min_parcel_acres"
"owner_type","Forest Industry","Other Business",157898,35115.7009706122,TRUE,80
"owner_type","Other Business","Other Business",77459,17226.4821687586,FALSE,80
"owner_type","Private Individual(s)","Private Individual(s)",74762,16626.6832763234,FALSE,80
"owner_type","Forest Industry","non-CFP in 2026",26673,5931.93765588633,TRUE,80
"owner_type","Other Business","Forest Industry",21193,4713.21391449027,TRUE,80
"owner_type","Forest Industry","Private Individual(s)",16153,3592.34390415521,TRUE,80
"owner_type","Forest Industry","Trust",13732,3053.9259884764,TRUE,80
"owner_type","Private Individual(s)","Trust",11544,2567.32607129126,TRUE,80
"owner_type","Private Individual(s)","Other Business",10421,2317.5766622424,TRUE,80
"owner_type","Private Individual(s)","non-CFP in 2026",8413,1871.00781685494,TRUE,80
"owner_type","Private Individual(s)","Forest Industry",6116,1360.16686174786,TRUE,80
"owner_type","Other Business","non-CFP in 2026",5976,1329.031583683,TRUE,80
"owner_type","Other Business","Other",4918,1093.73783944997,TRUE,80
"owner_type","Private Individual(s)","Private Group",4316,959.856143771057,TRUE,80
"owner_type","non-CFP in 2020","Other Business",3494,777.047582561648,TRUE,80
"owner_type","Other","Other",2176,483.931179065297,FALSE,80
"owner_type","Forest Industry","Other",2134,474.590595645838,TRUE,80
"owner_type","Other Business","Private Individual(s)",1214,269.987339791025,TRUE,80
"owner_type","Club or Group","Other",1075,239.074456569482,TRUE,80
"owner_type","non-CFP in 2020","Forest Industry",478,106.304735107175,TRUE,80
"owner_type","Other","Other Business",358,79.6173539087207,TRUE,80
"owner_type","Other","non-CFP in 2026",346,76.9486157888753,TRUE,80
"owner_type","non-CFP in 2020","Private Individual(s)",224,49.8164449037805,TRUE,80
"owner_type","non-CFP in 2020","Other",1,0.222394843320449,TRUE,80
"owner_type","Other Business","Trust",1,0.222394843320449,TRUE,80
"owner_type","non-CFP in 2020","Trust",1,0.222394843320449,TRUE,80
"owner_type","Forest Industry","Forest Industry",810210,180186.526006661,FALSE,100
"owner_type","Forest Industry","Other Business",142647,31723.9572151321,TRUE,100
"owner_type","Other Business","Other Business",68524,15239.3842436904,FALSE,100
"owner_type","Private Individual(s)","Private Individual(s)",51684,11494.2550821741,FALSE,100
"owner_type","Forest Industry","non-CFP in 2026",24321,5408.86498439664,TRUE,100
"owner_type","Other Business","Forest Industry",19029,4231.95147354482,TRUE,100
"owner_type","Forest Industry","Private Individual(s)",14758,3282.10309772318,TRUE,100
"owner_type","Forest Industry","Trust",13732,3053.9259884764,TRUE,100
"owner_type","Private Individual(s)","Other Business",8647,1923.04821019192,TRUE,100
"owner_type","Private Individual(s)","Trust",7831,1741.57401804243,TRUE,100
"owner_type","Private Individual(s)","Forest Industry",5758,1280.54950783914,TRUE,100
"owner_type","Other Business","non-CFP in 2026",5628,1251.63817820749,TRUE,100
"owner_type","Private Individual(s)","non-CFP in 2026",5113,1137.10483389745,TRUE,100
"owner_type","Other Business","Other",4918,1093.73783944997,TRUE,100
"owner_type","non-CFP in 2020","Other Business",3133,696.763044122966,TRUE,100
"owner_type","Private Individual(s)","Private Group",2490,553.763159867917,TRUE,100
"owner_type","Other Business","Private Individual(s)",1214,269.987339791025,TRUE,100
"owner_type","Other","Other",734,163.237814997209,FALSE,100
"owner_type","Forest Industry","Other",723,160.791471720684,TRUE,100
"owner_type","non-CFP in 2020","Forest Industry",449,99.8552846508815,TRUE,100
"owner_type","non-CFP in 2020","Private Individual(s)",43,9.5629782627793,TRUE,100
"owner_type","Other Business","Trust",1,0.222394843320449,TRUE,100
"owner_type","Other","non-CFP in 2026",1,0.222394843320449,TRUE,100
"owner_type","Forest Industry","Forest Industry",772996,171910.324307334,FALSE,160
"owner_type","Forest Industry","Other Business",130100,28933.5691159904,TRUE,160
"owner_type","Other Business","Other Business",64828,14417.4129027781,FALSE,160
