"cohort","n_pixels","acres","hansen_any_acres","hansen_any_pct","hansen_2010_2014_pct","hansen_2015_2020_pct","hansen_2021_2024_pct","lf_any_acres","lf_any_pct","lf_harvest_pct","lf_mech_pct","lf_insects_pct","lf_fire_pct"
"Owner type changed",280119,62297.0211160808,6578.6618602622,10.5601547913565,1.32800702558555,4.30281416112438,1.90204877212899,11933.7072925753,19.1561443529357,0.00535486703865143,18.9876445367862,0.163144949110914,0
"Stable owner type",1156918,257292.597344607,19613.8908118037,7.62318504855141,0.876553048703538,2.34061532450874,2.92959397295227,51280.6925522024,19.9308853350021,0.0586039805759786,19.6380383052213,0.23424304920487,0
"All CFP both years",1437037,319589.618460688,26192.5526720659,8.19568320091967,0.964554148570983,2.72310316296658,2.72929646209527,63214.3998447776,19.7798664891718,0.0482242280470162,19.5112582348262,0.220384026298557,0
"Left CFP by 2026",45357,10087.1629084856,1051.48281921908,10.4239698392751,1.13102718433759,4.59245540930838,1.77039927684812,1436.44829300678,14.2403598121569,0,14.0970522741804,0.143307537976498,0
"Entered CFP by 2026",7250,1612.36261407325,200.155358988404,12.4137931034483,0.0137931034482759,0.303448275862069,0.096551724137931,119.426030863081,7.40689655172414,0.510344827586207,6.23448275862069,0.662068965517241,0
